match_id,winner
2011-frenchopen-2128,1
2011-frenchopen-2161,1
2011-usopen-2304,2
2011-frenchopen-2408,1
2011-frenchopen-2123,2
2011-usopen-1137,1
2011-wimbledon-1133,1
2011-ausopen-1402,2
2011-frenchopen-1214,1
2011-usopen-2135,2
2011-usopen-1128,2
2011-frenchopen-2503,1
2011-wimbledon-2133,1
2011-wimbledon-2314,1
2011-usopen-1142,1
2011-usopen-1140,2
2011-frenchopen-2213,1
2011-ausopen-1304,2
2011-wimbledon-1117,1
2011-usopen-2220,1
2011-frenchopen-1149,2
2011-wimbledon-2501,2
2011-frenchopen-1309,1
2011-wimbledon-2220,2
2011-usopen-1116,2
2011-frenchopen-2111,2
2011-usopen-1406,2
2011-wimbledon-2309,2
2011-ausopen-1316,2
2011-ausopen-1230,1
2011-usopen-2133,2
2011-wimbledon-1407,1
2011-usopen-1218,2
2011-wimbledon-2217,1
2011-ausopen-2701,2
2011-frenchopen-2316,1
2011-ausopen-2227,1
2011-frenchopen-1303,2
2011-ausopen-1127,2
2011-usopen-1209,1
2011-ausopen-1105,1
2011-frenchopen-1163,2
2011-ausopen-2142,1
2011-wimbledon-2117,1
2011-frenchopen-1161,1
2011-usopen-2150,1
2011-wimbledon-1406,2
2011-ausopen-1201,1
2011-wimbledon-2312,2
2011-frenchopen-2140,2
2011-frenchopen-2403,2
2011-usopen-2122,2
2011-frenchopen-1124,2
2011-frenchopen-1305,1
2011-usopen-2114,2
2011-ausopen-2216,2
2011-frenchopen-1131,2
2011-usopen-2308,2
2011-usopen-1228,2
2011-wimbledon-2602,2
2011-frenchopen-1129,1
2011-ausopen-2116,2
2011-usopen-2315,2
2011-frenchopen-2223,1
2011-usopen-2204,2
2011-frenchopen-2219,1
2011-usopen-2504,1
2011-usopen-1231,2
2011-usopen-2602,2
2011-ausopen-2209,1
2011-frenchopen-2146,2
2011-frenchopen-2224,2
2011-frenchopen-2304,1
2011-frenchopen-2221,1
2011-frenchopen-1403,1
2011-usopen-2224,2
2011-wimbledon-1206,1
2011-wimbledon-2228,2
2011-usopen-1307,1
2011-frenchopen-2144,1
2011-frenchopen-1310,2
2011-ausopen-1217,1
2011-usopen-2101,1
2011-usopen-1217,2
2011-ausopen-1602,1
2011-usopen-2216,2
2011-frenchopen-2228,2
2011-usopen-1302,1
2011-frenchopen-2148,2
2011-frenchopen-1402,2
2011-ausopen-2232,2
2011-ausopen-2112,2
2011-ausopen-2117,1
2011-wimbledon-2701,2
2011-usopen-1221,2
2011-frenchopen-1152,2
2011-usopen-1162,2
2011-frenchopen-1148,2
2011-frenchopen-1211,1
2011-ausopen-2405,2
2011-frenchopen-1144,2
2011-wimbledon-1316,2
2011-usopen-1213,1
2011-wimbledon-2206,2
2011-ausopen-1160,1
2011-wimbledon-1602,2
2011-usopen-1156,1
2011-frenchopen-1304,2
2011-usopen-2306,2
2011-frenchopen-1312,2
2011-wimbledon-2125,1
2011-frenchopen-2313,1
2011-ausopen-1117,1
2011-ausopen-2310,2
2011-frenchopen-2117,1
2011-wimbledon-1228,2
2011-ausopen-1229,2
2011-wimbledon-2406,2
2011-frenchopen-2164,2
2011-ausopen-1124,2
2011-usopen-2124,2
2011-ausopen-1204,2
2011-usopen-2313,2
2011-frenchopen-1141,1
2011-usopen-2154,2
2011-ausopen-1308,2
2011-wimbledon-2308,2
2011-ausopen-2221,1
2011-usopen-1120,2
2011-wimbledon-1203,1
2011-frenchopen-2302,2
2011-frenchopen-1204,2
2011-ausopen-2316,2
2011-usopen-1404,1
2011-usopen-2316,2
2011-ausopen-2208,2
2011-wimbledon-2306,2
2011-ausopen-2408,2
2011-usopen-1225,1
2011-ausopen-2205,1
2011-wimbledon-1150,2
