match_id,MAX(points.SetWinner),MEAN(points.Rally),STD(points.Rally),SUM(points.P1Ace),SUM(points.P1BreakPoint),SUM(points.P1BreakPointMissed),SUM(points.P1BreakPointWon),SUM(points.P1DoubleFault),MEAN(points.P1FirstSrvIn),SUM(points.P1ForcedError),MAX(points.P1GamesWon),MAX(points.P1Momentum),SUM(points.P1NetPoint),SUM(points.P1NetPointWon),MAX(points.P1PointsWon),SUM(points.P1UnfErr),SUM(points.P1Winner),SUM(points.P2Ace),SUM(points.P2BreakPoint),SUM(points.P2BreakPointMissed),SUM(points.P2BreakPointWon),SUM(points.P2DoubleFault),MEAN(points.P2FirstSrvIn),SUM(points.P2ForcedError),MAX(points.P2GamesWon),MAX(points.P2Momentum),SUM(points.P2NetPoint),SUM(points.P2NetPointWon),MAX(points.P2PointsWon),SUM(points.P2UnfErr),SUM(points.P2Winner),P1_1st_serve_percentage,P1_2nd_serve_percentage,P2_1st_serve_percentage,P2_2nd_serve_percentage,Wimbledon,French_Open,US_Open,Aus_Open
2011-ausopen-1229,1,4.2075471698113205,3.644587612875362,6.0,6,4,2,1.0,0.2830188679245283,10.0,6.0,69,12,6,31.0,6.0,14.0,0.0,1,1,0,0.0,0.32075471698113206,8.0,1.0,19,4,2,21.0,9.0,5.0,0.8,0.5,0.5294117647058824,0.3333333333333333,0,0,0,1
2011-wimbledon-2406,2,3.36734693877551,2.6668792432277812,0.0,4,3,1,2.0,0.2857142857142857,14.0,2.0,26,2,2,20.0,5.0,5.0,2.0,6,3,3,1.0,0.3877551020408163,11.0,6.0,72,3,2,28.0,4.0,9.0,0.5,0.42857142857142855,0.6842105263157895,0.4,1,0,0,0
2011-frenchopen-2164,2,3.709090909090909,3.8329600169558895,0.0,4,3,1,1.0,0.2909090909090909,17.0,2.0,16,2,2,21.0,6.0,2.0,1.0,4,1,3,3.0,0.4,3.0,6.0,49,8,5,33.0,16.0,10.0,0.5,0.14285714285714285,0.7272727272727273,0.4,0,1,0,0
2011-ausopen-1124,1,3.9285714285714284,3.1918031852151754,3.0,11,9,2,0.0,0.20238095238095238,16.0,6.0,71,13,9,43.0,13.0,14.0,3.0,1,0,1,2.0,0.40476190476190477,13.0,4.0,45,21,12,40.0,16.0,11.0,0.8235294117647058,0.3076923076923077,0.6470588235294118,0.35294117647058826,0,0,0,1
2011-usopen-2124,2,5.703125,5.373892466182705,1.0,2,1,1,1.0,0.453125,17.0,4.0,28,4,4,28.0,9.0,5.0,0.0,4,2,2,2.0,0.140625,5.0,6.0,50,6,5,35.0,18.0,9.0,0.4827586206896552,0.8333333333333334,0.7777777777777778,0.6875,0,0,1,0
2011-ausopen-1204,2,4.352941176470588,4.093035692059207,0.0,6,6,0,0.0,0.2549019607843137,6.0,3.0,27,0,0,21.0,12.0,4.0,4.0,1,0,1,2.0,0.23529411764705882,7.0,6.0,47,4,3,29.0,10.0,11.0,0.7692307692307693,0.5,1.0,0.631578947368421,0,0,0,1
2011-usopen-2313,2,6.966101694915254,5.863287596370802,0.0,1,0,1,1.0,0.3050847457627119,9.0,2.0,16,6,2,24.0,15.0,6.0,0.0,6,3,3,3.0,0.3389830508474576,2.0,6.0,45,16,14,34.0,16.0,10.0,0.5,0.3,0.7,0.5,0,0,1,0
2011-frenchopen-1141,2,3.15,3.3588991336196012,1.0,1,1,0,0.0,0.35,15.0,4.0,19,4,3,26.0,16.0,6.0,0.0,3,2,1,1.0,0.38333333333333336,11.0,6.0,46,5,3,33.0,9.0,2.0,0.6190476190476191,0.6363636363636364,0.8260869565217391,0.6666666666666666,0,1,0,0
2011-usopen-2154,2,2.173076923076923,1.517494760092434,1.0,0,0,0,4.0,0.3269230769230769,7.0,1.0,14,7,3,19.0,16.0,9.0,1.0,7,4,3,2.0,0.17307692307692307,6.0,6.0,62,2,2,32.0,4.0,9.0,0.5294117647058824,0.4166666666666667,1.0,0.5714285714285714,0,0,1,0
2011-ausopen-1308,2,4.571428571428571,3.9518001896194037,0.0,2,1,1,1.0,0.42857142857142855,7.0,1.0,13,5,2,14.0,10.0,3.0,4.0,4,0,4,0.0,0.23809523809523808,5.0,6.0,67,7,5,27.0,6.0,10.0,0.3333333333333333,0.375,0.8,0.25,0,0,0,1
2011-wimbledon-2308,2,3.830508474576271,3.052147589716085,0.0,1,1,0,2.0,0.288135593220339,13.0,3.0,32,2,0,25.0,4.0,3.0,6.0,4,3,1,0.0,0.3220338983050847,15.0,6.0,73,7,4,33.0,7.0,16.0,0.5882352941176471,0.8333333333333334,0.7894736842105263,0.5714285714285714,1,0,0,0
2011-ausopen-2221,1,3.4918032786885247,3.0693264777997147,5.0,2,0,2,2.0,0.2786885245901639,10.0,6.0,64,11,4,32.0,8.0,9.0,1.0,3,2,1,1.0,0.22950819672131148,11.0,4.0,36,3,3,28.0,12.0,10.0,0.6470588235294118,0.75,0.7142857142857143,0.5,0,0,0,1
2011-usopen-1120,2,4.041666666666667,4.954938792731582,0.0,3,2,1,5.0,0.14583333333333334,11.0,2.0,13,4,2,17.0,12.0,4.0,0.0,3,0,3,2.0,0.2708333333333333,2.0,6.0,51,6,3,30.0,11.0,7.0,0.14285714285714285,0.625,0.6153846153846154,0.6666666666666666,0,0,1,0
2011-wimbledon-1203,2,4.448275862068965,4.587035879037068,14.0,0,0,0,3.0,0.3103448275862069,18.0,6.0,89,17,10,46.0,14.0,27.0,0.0,2,2,0,2.0,0.2988505747126437,11.0,7.0,60,15,12,40.0,8.0,8.0,0.8148148148148148,0.9090909090909091,0.7692307692307693,0.6470588235294118,1,0,0,0
2011-frenchopen-2302,2,2.09375,1.8203043878747664,0.0,0,0,0,3.0,0.1875,5.0,0.0,5,4,2,7.0,12.0,2.0,2.0,5,2,3,0.0,0.3125,3.0,6.0,60,3,3,24.0,2.0,7.0,0.0,0.5,0.8,0.6666666666666666,0,1,0,0
2011-frenchopen-1204,1,3.873015873015873,3.1392009641455525,1.0,4,2,2,0.0,0.31746031746031744,5.0,6.0,65,4,4,36.0,13.0,10.0,1.0,4,3,1,0.0,0.38095238095238093,14.0,4.0,35,3,2,26.0,12.0,8.0,0.75,0.46153846153846156,0.4166666666666667,0.8,0,1,0,0
2011-ausopen-2316,2,3.9622641509433962,3.827844664434058,0.0,0,0,0,3.0,0.3018867924528302,15.0,3.0,16,2,1,22.0,9.0,5.0,2.0,5,4,1,2.0,0.3584905660377358,7.0,6.0,45,6,5,30.0,10.0,6.0,0.625,0.8,0.8947368421052632,0.42857142857142855,0,0,0,1
2011-usopen-1404,1,3.125,2.5789132693430483,2.0,1,0,1,1.0,0.265625,12.0,6.0,49,8,3,33.0,7.0,8.0,1.0,3,3,0,2.0,0.25,8.0,4.0,39,19,13,30.0,17.0,11.0,0.7058823529411765,0.7058823529411765,0.75,0.7,0,0,1,0
2011-usopen-2316,2,4.984848484848484,4.421946749296406,2.0,2,2,0,1.0,0.25757575757575757,15.0,4.0,29,3,3,30.0,9.0,8.0,3.0,2,1,1,1.0,0.3333333333333333,8.0,6.0,63,7,5,35.0,14.0,11.0,0.7058823529411765,0.6,0.8636363636363636,0.42857142857142855,0,0,1,0
2011-ausopen-2208,2,3.7777777777777777,4.083719833285295,1.0,1,0,1,2.0,0.2,16.0,3.0,20,3,0,16.0,7.0,4.0,0.0,2,0,2,1.0,0.28888888888888886,5.0,6.0,50,4,3,28.0,7.0,5.0,0.6666666666666666,0.4444444444444444,0.6923076923076923,0.9,0,0,0,1
2011-wimbledon-2306,2,2.558139534883721,2.0851210491456493,1.0,0,0,0,3.0,0.32558139534883723,10.0,2.0,13,4,4,15.0,8.0,2.0,2.0,3,1,2,1.0,0.3023255813953488,8.0,6.0,62,4,3,27.0,5.0,9.0,0.6428571428571429,0.5,0.9230769230769231,0.8,1,0,0,0
2011-ausopen-2408,2,4.964285714285714,5.180257226727736,0.0,4,2,2,4.0,0.16071428571428573,8.0,4.0,32,4,3,24.0,16.0,9.0,0.0,3,0,3,1.0,0.3392857142857143,3.0,6.0,43,14,9,31.0,12.0,7.0,0.4444444444444444,0.5714285714285714,0.5263157894736842,0.75,0,0,0,1
2011-usopen-1225,1,3.526315789473684,3.4127139553958203,0.0,3,2,1,0.0,0.3508771929824561,13.0,6.0,51,7,3,31.0,3.0,4.0,0.0,1,1,0,2.0,0.22807017543859648,14.0,4.0,37,11,10,25.0,13.0,9.0,0.8,0.7,0.9230769230769231,0.5454545454545454,0,0,1,0
2011-ausopen-2205,1,2.9791666666666665,2.7170821594116195,1.0,6,3,3,0.0,0.16666666666666666,8.0,6.0,60,6,4,30.0,7.0,9.0,1.0,0,0,0,2.0,0.3958333333333333,11.0,1.0,12,2,1,17.0,10.0,2.0,0.625,0.875,0.5263157894736842,0.3,0,0,0,1
2011-wimbledon-1150,2,4.395348837209302,3.6130684419052277,0.0,0,0,0,1.0,0.3023255813953488,11.0,1.0,16,5,2,14.0,7.0,4.0,1.0,6,3,3,1.0,0.20930232558139536,9.0,6.0,70,5,4,28.0,1.0,10.0,0.46153846153846156,0.38461538461538464,0.8888888888888888,0.8,1,0,0,0
2011-wimbledon-2503,2,4.890625,4.113922113838588,2.0,1,0,1,1.0,0.375,17.0,3.0,38,1,0,26.0,2.0,7.0,1.0,4,1,3,2.0,0.265625,12.0,6.0,81,13,11,37.0,7.0,18.0,0.5,0.4,0.7058823529411765,0.75,1,0,0,0
2011-usopen-2310,2,4.181818181818182,3.0478698281768026,1.0,6,5,1,1.0,0.21212121212121213,16.0,3.0,41,6,5,30.0,12.0,15.0,2.0,3,1,2,1.0,0.3787878787878788,4.0,6.0,59,3,1,35.0,11.0,7.0,0.7857142857142857,0.18181818181818182,0.64,0.46153846153846156,0,0,1,0
2011-wimbledon-1142,1,2.7848101265822787,3.2449996486742707,3.0,0,0,0,0.0,0.31645569620253167,17.0,7.0,89,18,11,41.0,3.0,15.0,4.0,1,1,0,2.0,0.26582278481012656,21.0,6.0,70,15,11,37.0,5.0,17.0,0.76,0.7857142857142857,0.8095238095238095,0.6875,1,0,0,0
2011-frenchopen-1121,1,3.3461538461538463,3.394832378458184,2.0,4,1,3,1.0,0.19230769230769232,5.0,6.0,52,6,5,31.0,14.0,9.0,0.0,1,0,1,3.0,0.3269230769230769,13.0,3.0,13,2,0,20.0,9.0,1.0,0.9,0.5,0.6470588235294118,0.25,0,1,0,0
2011-ausopen-1225,1,4.546666666666667,4.4730222364669645,6.0,0,0,0,2.0,0.36,12.0,7.0,83,5,2,40.0,6.0,12.0,3.0,0,0,0,0.0,0.37333333333333335,17.0,6.0,57,22,14,34.0,11.0,16.0,0.8888888888888888,1.0,0.75,0.7272727272727273,0,0,0,1
2011-frenchopen-2102,2,3.9814814814814814,3.7340389420043967,0.0,2,2,0,2.0,0.35185185185185186,6.0,1.0,12,3,2,21.0,14.0,3.0,0.0,6,3,3,0.0,0.25925925925925924,8.0,6.0,56,2,2,32.0,10.0,12.0,0.5789473684210527,0.3076923076923077,0.6428571428571429,0.8,0,1,0,0
2011-wimbledon-1223,1,3.45,2.9309858351929465,4.0,7,5,2,2.0,0.2,10.0,6.0,76,14,8,34.0,7.0,13.0,1.0,0,0,0,1.0,0.35,14.0,3.0,33,5,5,25.0,7.0,8.0,0.8333333333333334,0.875,0.5714285714285714,0.5333333333333333,1,0,0,0
2011-wimbledon-1161,1,2.7666666666666666,2.3460508950702423,3.0,1,0,1,1.0,0.23333333333333334,12.0,6.0,68,7,4,32.0,4.0,10.0,1.0,0,0,0,2.0,0.35,16.0,4.0,47,9,8,27.0,6.0,11.0,0.7857142857142857,0.75,0.8095238095238095,0.3333333333333333,1,0,0,0
2011-ausopen-1140,2,4.391304347826087,3.9692051310030165,3.0,0,0,0,1.0,0.3695652173913043,9.0,1.0,18,7,2,16.0,10.0,7.0,0.0,8,5,3,1.0,0.2391304347826087,4.0,6.0,64,4,3,29.0,5.0,10.0,0.5882352941176471,0.18181818181818182,0.8181818181818182,0.75,0,0,0,1
2011-frenchopen-1223,1,5.212765957446808,5.1242652504604775,0.0,7,3,4,0.0,0.23404255319148937,8.0,6.0,59,4,3,30.0,7.0,8.0,0.0,2,1,1,0.0,0.2978723404255319,13.0,1.0,10,1,0,16.0,9.0,1.0,0.6363636363636364,0.5,0.35714285714285715,0.23076923076923078,0,1,0,0
2011-wimbledon-1308,1,3.1710526315789473,2.881611391309786,11.0,3,2,1,1.0,0.3684210526315789,16.0,7.0,91,12,6,38.0,5.0,19.0,8.0,3,2,1,0.0,0.2894736842105263,14.0,6.0,85,12,7,37.0,5.0,16.0,0.75,0.5454545454545454,0.8181818181818182,0.46153846153846156,1,0,0,0
2011-usopen-1134,2,3.6153846153846154,3.412089922958896,0.0,4,4,0,2.0,0.2692307692307692,15.0,4.0,40,5,3,36.0,9.0,7.0,5.0,2,1,1,1.0,0.38461538461538464,13.0,6.0,68,16,13,41.0,16.0,17.0,0.8095238095238095,0.3,0.7333333333333333,0.46153846153846156,0,0,1,0
2011-frenchopen-2138,1,4.666666666666667,4.3759248106792175,2.0,3,0,3,1.0,0.2727272727272727,5.0,7.0,52,5,2,36.0,15.0,8.0,1.0,2,0,2,3.0,0.21212121212121213,11.0,5.0,33,3,1,29.0,17.0,9.0,0.6666666666666666,0.5714285714285714,0.6428571428571429,0.4666666666666667,0,1,0,0
2011-frenchopen-2154,1,4.0,3.3054388401430037,0.0,6,3,3,1.0,0.2545454545454545,6.0,6.0,64,4,4,33.0,7.0,13.0,0.0,6,5,1,1.0,0.34545454545454546,8.0,2.0,33,4,2,21.0,12.0,8.0,0.6428571428571429,0.6153846153846154,0.42105263157894735,0.3333333333333333,0,1,0,0
2011-frenchopen-1101,1,3.305084745762712,3.4950913228073586,1.0,5,4,1,0.0,0.2711864406779661,9.0,6.0,66,1,1,33.0,4.0,7.0,2.0,0,0,0,1.0,0.3050847457627119,13.0,4.0,33,13,7,25.0,13.0,12.0,0.9375,0.625,0.7222222222222222,0.5333333333333333,0,1,0,0
